post_title,post_name,ID,post_excerpt,post_content,post_status,menu_order,post_date,post_parent,comment_status,sku,downloadable,virtual,visibility,stock,stock_status,backorders,manage_stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,file_path,file_paths,download_limit,download_expiry,product_url,button_text,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_metakeywords,images_front,images_back,tax:product_type,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:total_sales,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color
Woo Logo,woo-logo,15,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:35 AM,0,open,,no,no,visible,5,instock,no,yes,20,18,,,,,,,60,,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_1_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_1_back.jpg,simple,Clothing|T-shirts,,,0,,,
Premium Quality,premium-quality,19,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:41 AM,0,open,,no,no,visible,,instock,no,no,20,,,,,,,,,,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_2_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_2_back.jpg,simple,Clothing|T-shirts,,,0,,,
Ship Your Idea,ship-your-idea,22,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:46 AM,0,open,,no,no,visible,,instock,no,no,,,,,,,,,40,,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_4_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_3_back.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_3_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_4_back.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_4_front1.jpg,,0,Black|Green,0|0|1,
Ninja Silhouette,ninja-silhouette,31,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:49 AM,0,open,,no,no,visible,,instock,no,no,20,,,,,,,,56,34|37,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_5_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_5_back.jpg,simple,Clothing|T-shirts,,,0,,,
Woo Ninja,woo-ninja,34,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:52 AM,0,open,,no,no,visible,,instock,no,no,20,,,,,,,,47,37|31,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_6_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_6_back.jpg,simple,Clothing|T-shirts,,,0,,,
Happy Ninja,happy-ninja,37,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 10:53 AM,0,open,,no,no,visible,,instock,no,no,18,,,,,,,,53,34|31,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/T_7_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/T_7_back.jpg,simple,Clothing|T-shirts,,,0,,,
Ship Your Idea,ship-your-idea-2,40,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 11:00 AM,0,open,,no,no,visible,,instock,no,no,,,,,,,,,,22,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_7_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_7_back.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_1_back.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_1_front.jpg,,,0,Black|Blue,0|0|1,black
Woo Ninja,woo-ninja-2,47,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 11:02 AM,0,open,,no,no,visible,,instock,no,no,35,,,,,,,,,34,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_2_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_2_back.jpg,simple,Clothing|Hoodies,,,0,,,
Patient Ninja,patient-ninja,50,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 11:03 AM,0,open,,no,no,visible,,instock,no,no,35,,,,,,,,,53,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_3_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_3_back.jpg,simple,Clothing|Hoodies,,,0,,,
Happy Ninja,happy-ninja-2,53,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",publish,0,06/07/13 11:05 AM,0,open,,no,no,visible,,instock,no,no,35,,,,,,,,,37,no,,,,,,,,,,,,,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_4_front.jpg,http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_4_back.jpg,simple,Clothing|Hoodies,,,0,,,
